output for each value of regA

0: 0,
1: 1,
2: 2,
3: 3,
4: 4,
5: 4,
6: 5,
7: 0,
8: 0,1,
9: 1,1,
10: 2,1,
11: 3,1,
12: 5,1,
13: 6,1,
14: 1,1,
15: 0,1,
16: 0,2,
17: 1,2,
18: 2,2,
19: 2,2,
20: 6,2,
21: 0,2,
22: 5,2,
23: 0,2,
24: 0,3,
25: 1,3,
26: 2,3,
27: 2,3,
28: 7,3,
29: 2,3,
30: 1,3,
31: 0,3,
32: 0,4,
33: 1,4,
34: 3,4,
35: 1,4,
36: 0,4,
37: 4,4,
38: 5,4,
39: 0,4,
40: 0,4,
41: 1,4,
42: 3,4,
43: 1,4,
44: 1,4,
45: 6,4,
46: 1,4,
47: 0,4,
48: 0,5,
49: 1,5,
50: 3,5,
51: 0,5,
52: 2,5,
53: 0,5,
54: 5,5,
55: 0,5,
56: 0,0,
57: 1,0,
58: 3,0,
59: 0,0,
60: 3,0,
61: 2,0,
62: 1,0,
63: 0,0,
64: 0,0,1,
65: 0,0,1,
66: 0,0,1,
67: 7,0,1,
68: 4,0,1,
69: 4,0,1,
70: 5,0,1,
71: 0,0,1,
72: 0,1,1,
73: 0,1,1,
74: 0,1,1,
75: 7,1,1,
76: 5,1,1,
77: 6,1,1,
78: 1,1,1,
79: 0,1,1,
80: 0,2,1,
81: 0,2,1,
82: 0,2,1,
83: 6,2,1,
84: 6,2,1,
85: 0,2,1,
86: 5,2,1,
87: 0,2,1,
88: 0,3,1,
89: 0,3,1,
90: 0,3,1,
91: 6,3,1,
92: 7,3,1,
93: 2,3,1,
94: 1,3,1,
95: 0,3,1,
96: 0,5,1,
97: 0,5,1,
98: 1,5,1,
99: 5,5,1,
100: 0,5,1,
101: 4,5,1,
102: 5,5,1,
103: 0,5,1,
104: 0,6,1,
105: 0,6,1,
106: 1,6,1,
107: 5,6,1,
108: 1,6,1,
109: 6,6,1,
110: 1,6,1,
111: 0,6,1,
112: 0,1,1,
113: 0,1,1,
114: 1,1,1,
115: 4,1,1,
116: 2,1,1,
117: 0,1,1,
118: 5,1,1,
119: 0,1,1,
120: 0,0,1,
121: 0,0,1,
122: 1,0,1,
123: 4,0,1,
124: 3,0,1,
125: 2,0,1,
126: 1,0,1,
127: 0,0,1,
128: 1,0,2,
129: 3,0,2,
130: 6,0,2,
131: 3,0,2,
132: 4,0,2,
133: 4,0,2,
134: 5,0,2,
135: 0,0,2,
136: 1,1,2,
137: 3,1,2,
138: 6,1,2,
139: 3,1,2,
140: 5,1,2,
141: 6,1,2,
142: 1,1,2,
143: 0,1,2,
144: 1,2,2,
145: 3,2,2,
146: 6,2,2,
147: 2,2,2,
148: 6,2,2,
149: 0,2,2,
150: 5,2,2,
151: 0,2,2,
152: 1,2,2,
153: 3,2,2,
154: 6,2,2,
155: 2,2,2,
156: 7,2,2,
157: 2,2,2,
158: 1,2,2,
159: 0,2,2,
160: 1,6,2,
161: 3,6,2,
162: 7,6,2,
163: 1,6,2,
164: 0,6,2,
165: 4,6,2,
166: 5,6,2,
167: 0,6,2,
168: 1,0,2,
169: 3,0,2,
170: 7,0,2,
171: 1,0,2,
172: 1,0,2,
173: 6,0,2,
174: 1,0,2,
175: 0,0,2,
176: 1,5,2,
177: 3,5,2,
178: 7,5,2,
179: 0,5,2,
180: 2,5,2,
181: 0,5,2,
182: 5,5,2,
183: 0,5,2,
184: 1,0,2,
185: 3,0,2,
186: 7,0,2,
187: 0,0,2,
188: 3,0,2,
189: 2,0,2,
190: 1,0,2,
191: 0,0,2,
192: 1,0,3,
193: 2,0,3,
194: 4,0,3,
195: 7,0,3,
196: 4,0,3,
197: 4,0,3,
198: 5,0,3,
199: 0,0,3,
200: 1,1,3,
201: 2,1,3,
202: 4,1,3,
203: 7,1,3,
204: 5,1,3,
205: 6,1,3,
206: 1,1,3,
207: 0,1,3,
208: 1,2,3,
209: 2,2,3,
210: 4,2,3,
211: 6,2,3,
212: 6,2,3,
213: 0,2,3,
214: 5,2,3,
215: 0,2,3,
216: 1,2,3,
217: 2,2,3,
218: 4,2,3,
219: 6,2,3,
220: 7,2,3,
221: 2,2,3,
222: 1,2,3,
223: 0,2,3,
224: 1,7,3,
225: 2,7,3,
226: 5,7,3,
227: 5,7,3,
228: 0,7,3,
229: 4,7,3,
230: 5,7,3,
231: 0,7,3,
232: 1,2,3,
233: 2,2,3,
234: 5,2,3,
235: 5,2,3,
236: 1,2,3,
237: 6,2,3,
238: 1,2,3,
239: 0,2,3,
